iter	Passed	Remaining
0	2	205
1	2	129
2	3	103
3	3	88
4	4	83
5	4	77
6	5	73
7	6	69
8	6	65
9	6	62
10	7	60
11	7	57
12	8	56
13	9	55
14	9	54
15	10	53
16	10	51
17	11	50
18	11	49
19	11	47
20	12	48
21	13	49
22	14	50
23	15	50
24	16	49
25	17	49
26	17	48
27	18	47
28	18	46
29	19	45
30	19	44
31	20	43
32	20	42
33	21	41
34	21	40
35	22	39
36	22	38
37	23	38
38	23	37
39	24	36
40	24	35
41	25	34
42	25	33
43	25	33
44	26	32
45	26	31
46	27	31
47	28	30
48	29	30
49	30	30
50	32	30
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	36	27
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	39	22
64	40	21
65	40	20
66	41	20
67	41	19
68	42	18
69	42	18
70	44	18
71	45	17
72	46	17
73	47	16
74	47	15
75	48	15
76	48	14
77	49	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	9
84	52	9
85	53	8
86	53	8
87	54	7
88	54	6
89	55	6
90	55	5
91	56	4
92	56	4
93	57	3
94	58	3
95	59	2
96	60	1
97	61	1
98	61	0
99	62	0
