iter	Passed	Remaining
0	1	1195
1	4	2302
2	6	2230
3	7	1911
4	8	1755
5	9	1638
6	10	1558
7	12	1495
8	13	1455
9	14	1407
10	15	1365
11	16	1319
12	17	1318
13	19	1391
14	21	1393
15	22	1387
16	23	1387
17	25	1378
18	27	1429
19	29	1446
20	30	1444
21	35	1592
22	37	1584
23	38	1583
24	40	1564
25	41	1550
26	42	1538
27	43	1521
28	45	1509
29	46	1505
30	48	1517
31	49	1510
32	51	1505
33	52	1496
34	54	1490
35	55	1488
36	57	1485
37	58	1482
38	59	1469
39	60	1460
40	62	1456
41	63	1454
42	65	1454
43	66	1447
44	68	1444
45	69	1438
46	70	1428
47	71	1417
48	72	1408
49	73	1396
50	74	1386
51	75	1376
52	76	1371
53	78	1379
54	80	1376
55	81	1371
56	82	1364
57	83	1358
58	84	1352
59	85	1346
60	86	1338
61	87	1329
62	88	1322
63	89	1316
64	91	1309
65	92	1310
66	94	1309
67	95	1305
68	96	1300
69	97	1295
70	98	1290
71	100	1290
72	101	1288
73	102	1285
74	103	1280
75	104	1275
76	105	1270
77	108	1282
78	109	1279
79	111	1276
80	112	1272
81	113	1269
82	114	1263
83	115	1259
84	116	1255
85	117	1249
86	118	1244
87	119	1238
88	121	1238
89	122	1240
90	124	1238
91	125	1235
92	126	1232
93	127	1230
94	128	1227
95	130	1224
96	131	1220
97	132	1216
98	133	1212
99	134	1210
100	135	1207
101	137	1206
102	138	1204
103	139	1202
104	140	1199
105	141	1195
106	142	1193
107	144	1193
108	145	1191
109	146	1188
110	148	1186
111	149	1183
112	150	1178
113	151	1180
114	153	1183
115	154	1180
116	155	1175
117	156	1172
118	157	1169
119	159	1166
120	160	1162
121	160	1158
122	162	1161
123	164	1158
124	165	1155
125	166	1156
126	167	1154
127	168	1150
128	170	1148
129	171	1145
130	172	1141
131	173	1138
132	174	1135
133	175	1132
134	176	1131
135	177	1130
136	179	1128
137	180	1127
138	182	1127
139	183	1128
140	184	1126
141	185	1121
142	186	1119
143	187	1116
144	188	1113
145	190	1114
146	191	1112
147	192	1110
148	193	1107
149	195	1107
150	197	1108
151	198	1106
152	199	1104
153	200	1102
154	201	1100
155	203	1101
156	205	1102
157	206	1101
158	207	1099
159	209	1097
160	210	1097
161	212	1099
162	213	1096
163	214	1093
164	215	1090
165	216	1088
166	217	1085
167	218	1082
168	219	1080
169	220	1078
170	221	1075
171	222	1072
172	223	1070
173	225	1068
174	226	1067
175	228	1067
176	229	1065
177	230	1064
178	231	1061
179	232	1058
180	233	1055
181	234	1053
182	235	1050
183	236	1047
184	237	1044
185	237	1040
186	239	1040
187	241	1041
188	242	1041
189	243	1038
190	244	1037
191	246	1036
192	247	1034
193	248	1032
194	249	1029
195	250	1027
196	251	1024
197	252	1021
198	254	1023
199	255	1023
200	257	1021
201	258	1021
202	260	1022
203	262	1025
204	264	1024
205	264	1021
206	266	1019
207	267	1017
208	268	1015
209	269	1014
210	271	1013
211	272	1011
212	273	1009
213	274	1008
214	275	1007
215	276	1005
216	278	1003
217	279	1001
218	280	999
219	281	997
220	282	994
221	283	993
222	284	992
223	286	990
224	287	989
225	288	987
226	289	985
227	291	986
228	292	984
229	293	982
230	294	980
231	295	978
232	296	976
233	298	976
234	299	975
235	300	974
236	302	973
237	303	971
238	304	970
239	305	968
240	306	965
241	307	963
242	308	961
243	309	959
244	310	957
245	312	959
246	314	958
247	315	957
248	316	954
249	317	953
250	318	951
251	320	951
252	321	948
253	322	946
254	323	944
255	324	942
256	325	939
257	326	939
258	327	937
259	328	935
260	330	934
261	330	932
262	331	929
263	332	927
264	333	926
265	334	924
266	335	922
267	336	919
268	337	918
269	339	916
270	340	915
271	342	917
272	344	917
273	346	917
274	348	918
275	349	916
276	350	915
277	351	913
278	352	911
279	353	910
280	355	910
281	357	910
282	359	910
283	361	911
284	362	910
285	363	908
286	364	906
287	366	905
288	367	904
289	368	903
290	370	902
291	372	902
292	374	902
293	376	903
294	377	901
295	378	899
296	379	898
297	380	896
298	381	894
299	382	892
300	385	894
301	386	894
302	388	893
303	390	893
304	391	891
305	392	890
306	393	888
307	394	886
308	395	883
309	396	881
310	397	880
311	399	880
312	400	879
313	402	880
314	404	880
315	405	878
316	407	876
317	408	875
318	409	873
319	410	871
320	410	869
321	412	867
322	414	868
323	416	868
324	418	868
325	420	868
326	421	867
327	422	866
328	423	864
329	424	862
330	425	860
331	427	859
332	429	859
333	431	859
334	433	859
335	434	859
336	436	858
337	438	858
338	439	857
339	441	857
340	444	858
341	446	858
342	448	859
343	450	859
344	451	857
345	453	856
346	454	855
347	456	854
348	457	854
349	462	859
350	464	859
351	466	858
352	467	857
353	469	856
354	471	856
355	473	856
356	475	856
357	476	854
358	477	852
359	478	850
360	479	848
361	480	846
362	481	844
363	482	842
364	483	842
365	487	844
366	488	843
367	490	842
368	492	841
369	493	840
370	494	838
371	495	836
372	496	835
373	498	834
374	501	835
375	503	835
376	504	833
377	505	832
378	507	830
379	508	829
380	509	827
381	510	825
382	511	824
383	514	825
384	516	824
385	517	823
386	518	821
387	520	820
388	521	818
389	522	817
390	523	815
391	524	813
392	525	811
393	528	812
394	529	811
395	531	810
396	532	809
397	534	808
398	535	807
399	536	805
400	538	803
401	539	802
402	541	801
403	544	802
404	545	802
405	547	801
406	549	800
407	550	798
408	551	797
409	553	795
410	554	794
411	558	796
412	559	795
413	560	794
414	562	792
415	564	791
416	565	790
417	566	789
418	568	787
419	570	787
420	572	787
421	574	786
422	575	785
423	577	784
424	578	782
425	579	781
426	581	779
427	582	777
428	586	780
429	588	779
430	589	778
431	591	777
432	593	776
433	594	775
434	595	773
435	596	771
436	598	770
437	600	769
438	601	768
439	602	766
440	603	765
441	604	763
442	606	762
443	608	761
444	609	760
445	610	758
446	611	756
447	613	756
448	615	755
449	617	754
450	618	753
451	620	752
452	621	750
453	622	749
454	624	748
455	626	747
456	628	746
457	630	746
458	632	745
459	633	743
460	635	742
461	637	742
462	638	740
463	639	739
464	641	737
465	645	739
466	646	738
467	648	737
468	650	736
469	652	735
470	653	733
471	654	732
472	656	731
473	658	730
474	659	729
475	660	727
476	662	726
477	664	725
478	665	723
479	666	722
480	667	720
481	669	719
482	671	718
483	673	718
484	675	717
485	676	715
486	678	714
487	679	712
488	682	713
489	683	711
490	685	710
491	687	709
492	688	708
493	690	706
494	691	705
495	692	704
496	694	703
497	695	701
498	697	699
499	697	697
500	699	696
501	703	697
502	704	696
503	705	694
504	706	692
505	707	691
506	709	689
507	710	687
508	711	686
509	712	684
510	715	684
511	717	684
512	719	683
513	721	682
514	722	680
515	723	678
516	725	677
517	726	675
518	727	674
519	731	675
520	732	673
521	733	672
522	735	670
523	736	669
524	738	668
525	740	666
526	741	665
527	742	663
528	744	663
529	747	662
530	748	660
531	749	659
532	750	657
533	752	656
534	753	655
535	755	653
536	756	652
537	760	652
538	762	651
539	763	650
540	765	649
541	766	647
542	768	646
543	769	645
544	770	643
545	773	643
546	776	642
547	778	641
548	779	640
549	780	638
550	781	637
551	783	635
552	784	634
553	785	632
554	788	632
555	790	631
556	791	629
557	792	627
558	794	626
559	796	625
560	798	624
561	799	623
562	802	622
563	806	623
564	807	622
565	809	620
566	810	618
567	811	617
568	812	615
569	813	613
570	814	611
571	815	610
572	817	609
573	819	608
574	820	606
575	822	605
576	823	603
577	825	602
578	826	601
579	827	599
580	829	597
581	831	596
582	833	596
583	835	594
584	836	593
585	837	591
586	839	590
587	840	588
588	841	587
589	842	585
590	843	584
591	846	583
592	848	582
593	850	581
594	851	579
595	852	578
596	853	576
597	854	574
598	856	573
599	857	571
600	858	569
601	860	569
602	862	568
603	864	566
604	866	565
605	867	564
606	869	563
607	871	561
608	872	560
609	874	559
610	876	558
611	877	556
612	879	555
613	880	553
614	881	551
615	882	550
616	883	548
617	885	547
618	886	545
619	887	544
620	890	543
621	892	542
622	894	541
623	896	539
624	897	538
625	899	537
626	901	536
627	903	535
628	905	534
629	906	532
630	907	530
631	909	529
632	911	528
633	913	527
634	914	525
635	915	524
636	919	524
637	923	524
638	924	522
639	926	521
640	927	519
641	928	518
642	930	516
643	933	515
644	935	514
645	936	513
646	938	511
647	939	510
648	942	509
649	943	508
650	945	506
651	947	505
652	950	505
653	951	503
654	953	502
655	954	500
656	955	498
657	956	497
658	957	495
659	958	493
660	962	493
661	963	492
662	965	490
663	966	489
664	968	488
665	969	486
666	971	484
667	972	483
668	973	481
669	975	480
670	977	479
671	979	477
672	980	476
673	982	475
674	986	474
675	987	473
676	992	473
677	994	472
678	995	470
679	997	469
680	999	468
681	1001	467
682	1003	465
683	1009	466
684	1011	465
685	1012	463
686	1014	462
687	1015	460
688	1017	459
689	1018	457
690	1020	456
691	1022	455
692	1024	453
693	1025	452
694	1028	451
695	1030	450
696	1031	448
697	1034	447
698	1036	446
699	1038	444
700	1039	443
701	1040	441
702	1042	440
703	1043	438
704	1045	437
705	1047	436
706	1049	434
707	1050	433
708	1051	431
709	1053	430
710	1055	428
711	1057	427
712	1058	426
713	1060	424
714	1063	423
715	1065	422
716	1067	421
717	1068	419
718	1069	418
719	1071	416
720	1072	414
721	1073	413
722	1074	411
723	1075	410
724	1078	409
725	1079	407
726	1081	406
727	1082	404
728	1085	403
729	1086	402
730	1088	400
731	1089	398
732	1091	397
733	1093	396
734	1094	394
735	1095	393
736	1096	391
737	1097	389
738	1098	388
739	1100	386
740	1101	384
741	1102	383
742	1103	381
743	1105	380
744	1107	378
745	1108	377
746	1110	376
747	1111	374
748	1113	372
749	1113	371
750	1115	369
751	1116	368
752	1119	367
753	1120	365
754	1121	364
755	1123	362
756	1125	361
757	1126	359
758	1128	358
759	1129	356
760	1130	355
761	1131	353
762	1133	352
763	1134	350
764	1136	349
765	1137	347
766	1139	346
767	1140	344
768	1140	342
769	1141	341
770	1143	339
771	1144	337
772	1145	336
773	1146	334
774	1148	333
775	1150	332
776	1151	330
777	1152	328
778	1154	327
779	1154	325
780	1155	324
781	1156	322
782	1157	320
783	1159	319
784	1160	317
785	1162	316
786	1163	315
787	1165	313
788	1166	311
789	1168	310
790	1169	309
791	1171	307
792	1172	306
793	1174	304
794	1178	303
795	1180	302
796	1182	301
797	1183	299
798	1184	298
799	1185	296
800	1186	294
801	1188	293
802	1189	291
803	1191	290
804	1193	289
805	1194	287
806	1196	286
807	1197	284
808	1198	283
809	1200	281
810	1201	280
811	1202	278
812	1204	276
813	1206	275
814	1207	274
815	1209	272
816	1210	271
817	1212	269
818	1213	268
819	1214	266
820	1216	265
821	1217	263
822	1218	262
823	1219	260
824	1221	259
825	1223	257
826	1225	256
827	1226	254
828	1227	253
829	1229	251
830	1230	250
831	1231	248
832	1232	247
833	1234	245
834	1236	244
835	1238	242
836	1239	241
837	1241	240
838	1242	238
839	1243	236
840	1245	235
841	1246	233
842	1247	232
843	1248	230
844	1251	229
845	1253	228
846	1254	226
847	1255	225
848	1257	223
849	1259	222
850	1260	220
851	1261	219
852	1262	217
853	1263	216
854	1266	214
855	1267	213
856	1269	211
857	1270	210
858	1272	208
859	1273	207
860	1274	205
861	1275	204
862	1276	202
863	1277	201
864	1280	199
865	1282	198
866	1283	196
867	1285	195
868	1286	193
869	1287	192
870	1289	190
871	1290	189
872	1291	187
873	1293	186
874	1295	185
875	1296	183
876	1297	182
877	1299	180
878	1300	179
879	1301	177
880	1302	175
881	1303	174
882	1304	172
883	1305	171
884	1306	169
885	1308	168
886	1309	166
887	1310	165
888	1312	163
889	1313	162
890	1315	160
891	1316	159
892	1317	157
893	1318	156
894	1319	154
895	1321	153
896	1323	151
897	1325	150
898	1326	149
899	1327	147
900	1329	146
901	1330	144
902	1332	143
903	1333	141
904	1334	140
905	1335	138
906	1336	137
907	1339	135
908	1340	134
909	1342	132
910	1343	131
911	1344	129
912	1346	128
913	1348	126
914	1349	125
915	1350	123
916	1351	122
917	1353	120
918	1354	119
919	1355	117
920	1357	116
921	1358	114
922	1359	113
923	1360	111
924	1361	110
925	1362	108
926	1364	107
927	1365	105
928	1368	104
929	1370	103
930	1371	101
931	1372	100
932	1374	98
933	1375	97
934	1376	95
935	1378	94
936	1379	92
937	1382	91
938	1383	89
939	1385	88
940	1386	86
941	1387	85
942	1388	83
943	1390	82
944	1391	80
945	1392	79
946	1393	77
947	1394	76
948	1396	75
949	1397	73
950	1399	72
951	1400	70
952	1401	69
953	1402	67
954	1403	66
955	1404	64
956	1405	63
957	1406	61
958	1408	60
959	1409	58
960	1411	57
961	1412	55
962	1413	54
963	1415	52
964	1416	51
965	1417	49
966	1418	48
967	1419	46
968	1420	45
969	1421	43
970	1422	42
971	1423	40
972	1425	39
973	1426	38
974	1428	36
975	1429	35
976	1430	33
977	1432	32
978	1433	30
979	1434	29
980	1435	27
981	1436	26
982	1438	24
983	1443	23
984	1445	22
985	1447	20
986	1449	19
987	1451	17
988	1453	16
989	1456	14
990	1458	13
991	1462	11
992	1465	10
993	1469	8
994	1472	7
995	1474	5
996	1476	4
997	1478	2
998	1481	1
999	1488	0
